,Unnamed: 0,accepted,author,kingdom,Family,name,rank,powo_Snippet,Source,fqId
23,24,True,L.,Plantae,Asteraceae,Calendula officinalis,Species, <b>Use</b>: Used in poultices to promote <em>healing</em> (Lagos-López 2007,POWO pages(/taxon/urn:lsid:ipni.org:names:187894-1),urn:lsid:ipni.org:names:187894-1
24,25,True,Kunth,Plantae,Clusiaceae,Clusia multiflora,Species, <b>Use</b>:  wound <em>healing</em> (Florez-Cárdenas et al. 2010).,POWO pages(/taxon/urn:lsid:ipni.org:names:427594-1),urn:lsid:ipni.org:names:427594-1
25,26,True,(L.) Burm.f.,Plantae,Asphodelaceae,Aloe vera,Species, <b>Use</b>:  for <em>healing</em> (Lagos-López 2007).,POWO pages(/taxon/urn:lsid:ipni.org:names:530017-1),urn:lsid:ipni.org:names:530017-1
26,27,True,Roxb.,Plantae,Fabaceae,Dalbergia volubilis,Species," <b>Use</b>: Forage, <em>Medicine</em>",POWO pages(/taxon/urn:lsid:ipni.org:names:490521-1),urn:lsid:ipni.org:names:490521-1
27,28,True,Fisch. ex DC.,Plantae,Fabaceae,Glycyrrhiza uralensis,Species," <b>Use</b>: Environmental, Forage, <em>Medicine</em>",POWO pages(/taxon/urn:lsid:ipni.org:names:496974-1),urn:lsid:ipni.org:names:496974-1
28,29,True,(L.) Lour. ex Raf.,Plantae,Fabaceae,Phanera scandens,Species," <b>Use</b>: Fibre, <em>Medicine</em>",POWO pages(/taxon/urn:lsid:ipni.org:names:60469169-2),urn:lsid:ipni.org:names:60469169-2
29,30,True,A.Berger,Plantae,Asphodelaceae,Aloe marlothii,Species, <b>Use</b>: <em>Medicine</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:529640-1),urn:lsid:ipni.org:names:529640-1
30,31,True,(L.) L.,Plantae,Convolvulaceae,Cuscuta epithymum,Species, <b>Use</b>: <em>Medicine</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:267419-1),urn:lsid:ipni.org:names:267419-1
31,32,True,Wall. ex Wight & Arn.,Plantae,Fabaceae,Abrus fruticulosus,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:469592-1),urn:lsid:ipni.org:names:469592-1
32,33,True,F.Muell.,Plantae,Fabaceae,Acacia estrophiolata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:470280-1),urn:lsid:ipni.org:names:470280-1
33,34,True,A.Cunn. ex Benth.,Plantae,Fabaceae,Acacia ligulata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:470760-1),urn:lsid:ipni.org:names:470760-1
34,35,True,(Benth.) Maconochie,Plantae,Fabaceae,Acacia multisiliqua,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:470949-1),urn:lsid:ipni.org:names:470949-1
35,36,True,(R.Vig.) Verdc.,Plantae,Fabaceae,Alistilus jumellei,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:473480-1),urn:lsid:ipni.org:names:473480-1
36,37,True,Harv.,Plantae,Fabaceae,Alysicarpus zeyheri,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:473575-1),urn:lsid:ipni.org:names:473575-1
37,38,True,Benth.,Plantae,Fabaceae,Andira ormosioides,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:474060-1),urn:lsid:ipni.org:names:474060-1
38,39,True,(De Wild.) Exell & Hillc.,Plantae,Fabaceae,Anthonotha pynaertii,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:474615-1),urn:lsid:ipni.org:names:474615-1
39,40,True,Pall.,Plantae,Fabaceae,Astragalus galactites,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:477527-1),urn:lsid:ipni.org:names:477527-1
40,41,True,Klotzsch,Plantae,Fabaceae,Astragalus himalayanus,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:477804-1),urn:lsid:ipni.org:names:477804-1
41,42,True,Benth.,Plantae,Fabaceae,Astragalus multiceps,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:20008198-1),urn:lsid:ipni.org:names:20008198-1
42,43,True,Pall.,Plantae,Fabaceae,Astragalus utriger,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:480397-1),urn:lsid:ipni.org:names:480397-1
43,44,True,Benth.,Plantae,Fabaceae,Berlinia auriculata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:481829-1),urn:lsid:ipni.org:names:481829-1
44,45,True,Baker f.,Plantae,Fabaceae,Berlinia craibiana,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:481842-1),urn:lsid:ipni.org:names:481842-1
45,46,True,(Kuntze) Molinari & Mayta,Plantae,Fabaceae,Biancaea godefroyana,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:60471689-2),urn:lsid:ipni.org:names:60471689-2
46,47,True,Hook. & Arn.,Plantae,Fabaceae,Brongniartia glabrata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:482358-1),urn:lsid:ipni.org:names:482358-1
47,48,True,(Voigt) Grierson,Plantae,Fabaceae,Butea buteiformis,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:482550-1),urn:lsid:ipni.org:names:482550-1
48,49,True,Baker,Plantae,Fabaceae,Cadia pedicellata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:482603-1),urn:lsid:ipni.org:names:482603-1
49,50,True,(Wight & Arn.) Maesen,Plantae,Fabaceae,Cajanus lineatus,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:942597-1),urn:lsid:ipni.org:names:942597-1
50,51,True,(Benth.) Maesen,Plantae,Fabaceae,Cajanus platycarpus,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:942601-1),urn:lsid:ipni.org:names:942601-1
51,52,True,Rose,Plantae,Fabaceae,Calliandra peninsularis,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:42254-2),urn:lsid:ipni.org:names:42254-2
52,53,True,(R.Br.) E.Mey.,Plantae,Fabaceae,Calpurnia intrusa,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:483466-1),urn:lsid:ipni.org:names:483466-1
53,54,True,(R.Parker) L.B.Chaudhary & S.K.Srivast.,Plantae,Fabaceae,Caragana aegacanthoides,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:77083821-1),urn:lsid:ipni.org:names:77083821-1
54,55,True,Brenan,Plantae,Fabaceae,Cassia afrofistula,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:484073-1),urn:lsid:ipni.org:names:484073-1
55,56,True,Welw. ex Hiern,Plantae,Fabaceae,Cassia angolensis,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:484098-1),urn:lsid:ipni.org:names:484098-1
56,57,True,(R.Vig.) Du Puy,Plantae,Fabaceae,Chamaecrista lateriticola,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:984206-1),urn:lsid:ipni.org:names:984206-1
57,58,True,(Vahl) Greene,Plantae,Fabaceae,Chamaecrista nigricans,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:54641-2),urn:lsid:ipni.org:names:54641-2
58,59,True,(Gagnep.) R.Clark & Mackinder,Plantae,Fabaceae,Cheniella lakhonensis,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:77165912-1),urn:lsid:ipni.org:names:77165912-1
59,60,True,(Schindl.) T.C.Chen,Plantae,Fabaceae,Christia constricta,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:486273-1),urn:lsid:ipni.org:names:486273-1
60,61,True,Hemsl.,Plantae,Fabaceae,Clitoria hanceana,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:486532-1),urn:lsid:ipni.org:names:486532-1
61,62,True,J.F.Macbr.,Plantae,Fabaceae,Clitoria pozuzoensis,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:61297-2),urn:lsid:ipni.org:names:61297-2
62,63,True,(Boiss.) Shap.,Plantae,Fabaceae,Colutea buhsei,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:486817-1),urn:lsid:ipni.org:names:486817-1
63,64,True,Harms,Plantae,Fabaceae,Copaifera baumiana,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:486969-1),urn:lsid:ipni.org:names:486969-1
64,65,True,Buch.-Ham. ex Benth.,Plantae,Fabaceae,Crotalaria acicularis,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:60457282-2),urn:lsid:ipni.org:names:60457282-2
65,66,True,Roxb. ex DC.,Plantae,Fabaceae,Crotalaria bracteata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:487895-1),urn:lsid:ipni.org:names:487895-1
66,67,True,Rottler ex Willd.,Plantae,Fabaceae,Crotalaria prostrata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:488700-1),urn:lsid:ipni.org:names:488700-1
67,68,True,Willd.,Plantae,Fabaceae,Crotalaria trifoliastrum,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:488988-1),urn:lsid:ipni.org:names:488988-1
68,69,True,Lam.,Plantae,Fabaceae,Crotalaria uncinella,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:489013-1),urn:lsid:ipni.org:names:489013-1
69,70,True,Oliv.,Plantae,Fabaceae,Cryptosepalum maraviense,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:489200-1),urn:lsid:ipni.org:names:489200-1
70,71,True,G.Don,Plantae,Fabaceae,Dalbergia rufa,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:490445-1),urn:lsid:ipni.org:names:490445-1
71,72,True,Ducke,Plantae,Fabaceae,Dalbergia subcymosa,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:75978-2),urn:lsid:ipni.org:names:75978-2
72,73,True,(Baker) De Wild.,Plantae,Fabaceae,Droogmansia pteropus,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:493485-1),urn:lsid:ipni.org:names:493485-1
73,74,True,(Dalzell & A.Gibson) Prain,Plantae,Fabaceae,Dunbaria glandulosa,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:493534-1),urn:lsid:ipni.org:names:493534-1
74,75,True,(Thunb.) Makino,Plantae,Fabaceae,Dunbaria villosa,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:493560-1),urn:lsid:ipni.org:names:493560-1
75,76,True,Steud. ex A.Rich.,Plantae,Fabaceae,Entada abyssinica,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:493817-1),urn:lsid:ipni.org:names:493817-1
76,77,True,Schinz,Plantae,Fabaceae,Entada arenaria,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:493822-1),urn:lsid:ipni.org:names:493822-1
77,78,True,Pierre ex Gagnep.,Plantae,Fabaceae,Entada glandulosa,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:493841-1),urn:lsid:ipni.org:names:493841-1
78,79,True,Baker,Plantae,Fabaceae,Eriosema griseum,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:494056-1),urn:lsid:ipni.org:names:494056-1
79,80,True,Harms,Plantae,Fabaceae,Eriosema tephrosioides,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:494187-1),urn:lsid:ipni.org:names:494187-1
80,81,True,Roxb.,Plantae,Fabaceae,Erythrina resupinata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:494560-1),urn:lsid:ipni.org:names:494560-1
81,82,True,(Lesch.) Benn.,Plantae,Fabaceae,Euchresta horsfieldii,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:494673-1),urn:lsid:ipni.org:names:494673-1
82,83,True,Hook.f. ex Regel,Plantae,Fabaceae,Euchresta japonica,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:328804-2),urn:lsid:ipni.org:names:328804-2
83,84,True,Buch.-Ham. ex Benth.,Plantae,Fabaceae,Flemingia chappar,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:495248-1),urn:lsid:ipni.org:names:495248-1
84,85,True,L.,Plantae,Fabaceae,Genista germanica,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:496060-1),urn:lsid:ipni.org:names:496060-1
85,86,True,(Harms) Vermoesen,Plantae,Fabaceae,Gilletiodendron mildbraedii,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:496565-1),urn:lsid:ipni.org:names:496565-1
86,87,True,Maxim.,Plantae,Fabaceae,Glycyrrhiza pallidiflora,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:496965-1),urn:lsid:ipni.org:names:496965-1
87,88,True,(Schindl.) H.Ohashi & K.Ohashi,Plantae,Fabaceae,Grona stolzii,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:77187439-1),urn:lsid:ipni.org:names:77187439-1
88,89,True,(Georgi) Boriss.,Plantae,Fabaceae,Gueldenstaedtia verna,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:497144-1),urn:lsid:ipni.org:names:497144-1
89,90,True,(De Wild.) P.A.Duvign.,Plantae,Fabaceae,Humularia apiculata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:498721-1),urn:lsid:ipni.org:names:498721-1
90,91,True,DC.,Plantae,Fabaceae,Indigofera astragalina,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:499007-1),urn:lsid:ipni.org:names:499007-1
91,92,True,Dunn,Plantae,Fabaceae,Indigofera caudata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:499120-1),urn:lsid:ipni.org:names:499120-1
92,93,True,Jacq.,Plantae,Fabaceae,Indigofera dendroides,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:499229-1),urn:lsid:ipni.org:names:499229-1
93,94,True,Baker,Plantae,Fabaceae,Indigofera lyallii,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:499601-1),urn:lsid:ipni.org:names:499601-1
94,95,True,Schumach.,Plantae,Fabaceae,Indigofera macrophylla,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:499611-1),urn:lsid:ipni.org:names:499611-1
95,96,True,J.B.Gillett,Plantae,Fabaceae,Indigofera omissa,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:499753-1),urn:lsid:ipni.org:names:499753-1
96,97,True,Willd.,Plantae,Fabaceae,Indigofera prostrata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:499865-1),urn:lsid:ipni.org:names:499865-1
97,98,True,Willd.,Plantae,Fabaceae,Indigofera pulchra,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:499881-1),urn:lsid:ipni.org:names:499881-1
98,99,True,Scott Elliot,Plantae,Fabaceae,Indigofera scarciesii,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:499958-1),urn:lsid:ipni.org:names:499958-1
99,100,True,J.B.Gillett,Plantae,Fabaceae,Indigofera taborensis,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:500071-1),urn:lsid:ipni.org:names:500071-1
100,101,True,(Baker) Dewit & P.A.Duvign.,Plantae,Fabaceae,Kotschya carsonii,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:501273-1),urn:lsid:ipni.org:names:501273-1
101,102,True,(Taub.) Dewit & P.A.Duvign.,Plantae,Fabaceae,Kotschya ochreata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:501281-1),urn:lsid:ipni.org:names:501281-1
102,103,True,(Benth.) Dewit & P.A.Duvign.,Plantae,Fabaceae,Kotschya strigosa,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:501293-1),urn:lsid:ipni.org:names:501293-1
103,104,True,(Benth.) Dunn,Plantae,Fabaceae,Leptoderris fasciculata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:502306-1),urn:lsid:ipni.org:names:502306-1
104,105,True,(Welw. ex Baker) Dunn,Plantae,Fabaceae,Leptoderris nobilis,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:502323-1),urn:lsid:ipni.org:names:502323-1
105,106,True,(Welw. ex Baker) Verdc.,Plantae,Fabaceae,Macrotyloma stipulosum,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:505873-1),urn:lsid:ipni.org:names:505873-1
106,107,True,Ledeb.,Plantae,Fabaceae,Melilotus suaveolens,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:507046-1),urn:lsid:ipni.org:names:507046-1
107,108,True,Baill.,Plantae,Fabaceae,Mezoneuron benthamianum,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:507173-1),urn:lsid:ipni.org:names:507173-1
108,109,True,(Roxb.) Wight & Arn.,Plantae,Fabaceae,Mezoneuron cucullatum,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:507176-1),urn:lsid:ipni.org:names:507176-1
109,110,True,Vatke,Plantae,Fabaceae,Mezoneuron hildebrandtii,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:507183-1),urn:lsid:ipni.org:names:507183-1
110,111,True,De Wild.,Plantae,Fabaceae,Millettia angustidentata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:507267-1),urn:lsid:ipni.org:names:507267-1
111,112,True,(Benth.) Baker,Plantae,Fabaceae,Millettia caudata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:507308-1),urn:lsid:ipni.org:names:507308-1
112,113,True,De Wild.,Plantae,Fabaceae,Millettia elskensii,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:507357-1),urn:lsid:ipni.org:names:507357-1
113,114,True,(Hauman) Polhill,Plantae,Fabaceae,Millettia goossensii,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:507382-1),urn:lsid:ipni.org:names:507382-1
114,115,True,Dunn,Plantae,Fabaceae,Millettia oblata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:507465-1),urn:lsid:ipni.org:names:507465-1
115,116,True,DC. ex Kurz,Plantae,Fabaceae,Mucuna bracteata,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:60461840-2),urn:lsid:ipni.org:names:60461840-2
116,117,True,Wall.,Plantae,Fabaceae,Mucuna macrocarpa,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:509234-1),urn:lsid:ipni.org:names:509234-1
117,118,True,Hemsl.,Plantae,Fabaceae,Mucuna sempervirens,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:509290-1),urn:lsid:ipni.org:names:509290-1
118,119,True,R.Vig.,Plantae,Fabaceae,Mundulea micrantha,Species, <b>Use</b>: <em>Medicine</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:509356-1),urn:lsid:ipni.org:names:509356-1
