"X","Unnamed..0","accepted","author","kingdom","Family","name","rank","powo_Snippet","Source","fqId","Accepted_Name","Accepted_ID","Accepted_Rank","Accepted_Species","Accepted_Species_ID"
15,16,"True","(T.Anderson) Garcke","Plantae","Malvaceae","Cienfuegosia welshii","Species"," <b>Use</b>: Crushed leaves of C. welshii are used for <em>healing</em> wounds.","POWO pages(/taxon/urn:lsid:ipni.org:names:559356-1)","urn:lsid:ipni.org:names:559356-1","Cienfuegosia welshii","559356-1","Species","Cienfuegosia welshii","559356-1"
16,17,"True","Griff.","Plantae","Arecaceae","Calamus rheedei","Species"," <b>Use</b>: It is reported that powdered dried seeds have a <em>healing</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:665377-1)","urn:lsid:ipni.org:names:665377-1","Calamus rheedei","665377-1","Species","Calamus rheedei","665377-1"
17,18,"True","L.","Plantae","Papaveraceae","Bocconia frutescens","Species"," <b>Use</b>: Exudates - Used in poultices for <em>healing</em> (Florez-Cárdenas","POWO pages(/taxon/urn:lsid:ipni.org:names:316358-2)","urn:lsid:ipni.org:names:316358-2","Bocconia frutescens","316358-2","Species","Bocconia frutescens","316358-2"
18,19,"True","Wilkin","Plantae","Dioscoreaceae","Dioscorea strydomiana","Species"," <b>Use</b>:  such as arthritis or to promote <em>healing</em>. Both D. elephantipes and D","POWO pages(/taxon/urn:lsid:ipni.org:names:77107546-1)","urn:lsid:ipni.org:names:77107546-1","Dioscorea strydomiana","77107546-1","Species","Dioscorea strydomiana","77107546-1"
19,20,"True","L.","Plantae","Fabaceae","Vicia faba","Species"," <b>Use</b>: Leaves - Used to promote <em>healing</em> (Lagos-López 2007).","POWO pages(/taxon/urn:lsid:ipni.org:names:524737-1)","urn:lsid:ipni.org:names:524737-1","Vicia faba","524737-1","Species","Vicia faba","524737-1"
20,21,"True","Planch. & Triana","Plantae","Clusiaceae","Clusia alata","Species"," <b>Use</b>: Exudates - Used to promote <em>healing</em> (Morales-Puentes et al","POWO pages(/taxon/urn:lsid:ipni.org:names:427426-1)","urn:lsid:ipni.org:names:427426-1","Clusia alata","427426-1","Species","Clusia alata","427426-1"
21,22,"True","Willd.","Plantae","Bixaceae","Bixa urucurana","Species"," <b>Use</b>: Leaves - Used to promote <em>healing</em> (Carvajal et al. 2014).","POWO pages(/taxon/urn:lsid:ipni.org:names:111504-1)","urn:lsid:ipni.org:names:111504-1","Bixa urucurana","111504-1","Species","Bixa urucurana","111504-1"
22,23,"True","L.","Plantae","Plantaginaceae","Plantago major","Species"," <b>Use</b>: Leaves - Used in poultices to promote <em>healing</em> (Lagos-López","POWO pages(/taxon/urn:lsid:ipni.org:names:321286-2)","urn:lsid:ipni.org:names:321286-2","Plantago major","321286-2","Species","Plantago major","321286-2"
23,24,"True","L.","Plantae","Asteraceae","Calendula officinalis","Species"," <b>Use</b>: Used in poultices to promote <em>healing</em> (Lagos-López 2007","POWO pages(/taxon/urn:lsid:ipni.org:names:187894-1)","urn:lsid:ipni.org:names:187894-1","Calendula officinalis","187894-1","Species","Calendula officinalis","187894-1"
24,25,"True","Kunth","Plantae","Clusiaceae","Clusia multiflora","Species"," <b>Use</b>:  wound <em>healing</em> (Florez-Cárdenas et al. 2010).","POWO pages(/taxon/urn:lsid:ipni.org:names:427594-1)","urn:lsid:ipni.org:names:427594-1","Clusia multiflora","427594-1","Species","Clusia multiflora","427594-1"
25,26,"True","(L.) Burm.f.","Plantae","Asphodelaceae","Aloe vera","Species"," <b>Use</b>:  for <em>healing</em> (Lagos-López 2007).","POWO pages(/taxon/urn:lsid:ipni.org:names:530017-1)","urn:lsid:ipni.org:names:530017-1","Aloe succotrina","60462554-2","Species","Aloe succotrina","60462554-2"
26,27,"True","Roxb.","Plantae","Fabaceae","Dalbergia volubilis","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:490521-1)","urn:lsid:ipni.org:names:490521-1","Dalbergia volubilis","490521-1","Species","Dalbergia volubilis","490521-1"
27,28,"True","Fisch. ex DC.","Plantae","Fabaceae","Glycyrrhiza uralensis","Species"," <b>Use</b>: Environmental, Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:496974-1)","urn:lsid:ipni.org:names:496974-1","Glycyrrhiza uralensis","496974-1","Species","Glycyrrhiza uralensis","496974-1"
28,29,"True","(L.) Lour. ex Raf.","Plantae","Fabaceae","Phanera scandens","Species"," <b>Use</b>: Fibre, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:60469169-2)","urn:lsid:ipni.org:names:60469169-2","Intsia bijuga var. bijuga","77173006-1","Variety","Intsia bijuga","500954-1"
29,30,"True","A.Berger","Plantae","Asphodelaceae","Aloe marlothii","Species"," <b>Use</b>: <em>Medicine</em>.","POWO pages(/taxon/urn:lsid:ipni.org:names:529640-1)","urn:lsid:ipni.org:names:529640-1","Aloe marlothii","529640-1","Species","Aloe marlothii","529640-1"
30,31,"True","(L.) L.","Plantae","Convolvulaceae","Cuscuta epithymum","Species"," <b>Use</b>: <em>Medicine</em>.","POWO pages(/taxon/urn:lsid:ipni.org:names:267419-1)","urn:lsid:ipni.org:names:267419-1","Cuscuta lupuliformis var. lupuliformis","77173577-1","Variety","Cuscuta lupuliformis","267525-1"
31,32,"True","Wall. ex Wight & Arn.","Plantae","Fabaceae","Abrus fruticulosus","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:469592-1)","urn:lsid:ipni.org:names:469592-1","Abrus fruticulosus","469592-1","Species","Abrus fruticulosus","469592-1"
32,33,"True","F.Muell.","Plantae","Fabaceae","Acacia estrophiolata","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:470280-1)","urn:lsid:ipni.org:names:470280-1","Acacia estrophiolata","470280-1","Species","Acacia estrophiolata","470280-1"
33,34,"True","A.Cunn. ex Benth.","Plantae","Fabaceae","Acacia ligulata","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:470760-1)","urn:lsid:ipni.org:names:470760-1","Acacia ligulata","470760-1","Species","Acacia ligulata","470760-1"
34,35,"True","(Benth.) Maconochie","Plantae","Fabaceae","Acacia multisiliqua","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:470949-1)","urn:lsid:ipni.org:names:470949-1","Acacia multisiliqua","470949-1","Species","Acacia multisiliqua","470949-1"
35,36,"True","(R.Vig.) Verdc.","Plantae","Fabaceae","Alistilus jumellei","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:473480-1)","urn:lsid:ipni.org:names:473480-1","Alistilus jumellei","473480-1","Species","Alistilus jumellei","473480-1"
36,37,"True","Harv.","Plantae","Fabaceae","Alysicarpus zeyheri","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:473575-1)","urn:lsid:ipni.org:names:473575-1","Alysicarpus zeyheri","473575-1","Species","Alysicarpus zeyheri","473575-1"
37,38,"True","Benth.","Plantae","Fabaceae","Andira ormosioides","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:474060-1)","urn:lsid:ipni.org:names:474060-1","Andira ormosioides","474060-1","Species","Andira ormosioides","474060-1"
38,39,"True","(De Wild.) Exell & Hillc.","Plantae","Fabaceae","Anthonotha pynaertii","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:474615-1)","urn:lsid:ipni.org:names:474615-1","Anthonotha pynaertii","474615-1","Species","Anthonotha pynaertii","474615-1"
39,40,"True","Pall.","Plantae","Fabaceae","Astragalus galactites","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:477527-1)","urn:lsid:ipni.org:names:477527-1","Astragalus galactites","477527-1","Species","Astragalus galactites","477527-1"
40,41,"True","Klotzsch","Plantae","Fabaceae","Astragalus himalayanus","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:477804-1)","urn:lsid:ipni.org:names:477804-1","Astragalus himalayanus","477804-1","Species","Astragalus himalayanus","477804-1"
41,42,"True","Benth.","Plantae","Fabaceae","Astragalus multiceps","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:20008198-1)","urn:lsid:ipni.org:names:20008198-1","Astragalus multiceps","20008198-1","Species","Astragalus multiceps","20008198-1"
42,43,"True","Pall.","Plantae","Fabaceae","Astragalus utriger","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:480397-1)","urn:lsid:ipni.org:names:480397-1","Astragalus utriger","480397-1","Species","Astragalus utriger","480397-1"
43,44,"True","Benth.","Plantae","Fabaceae","Berlinia auriculata","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:481829-1)","urn:lsid:ipni.org:names:481829-1","Berlinia auriculata","481829-1","Species","Berlinia auriculata","481829-1"
44,45,"True","Baker f.","Plantae","Fabaceae","Berlinia craibiana","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:481842-1)","urn:lsid:ipni.org:names:481842-1","Berlinia craibiana","481842-1","Species","Berlinia craibiana","481842-1"
45,46,"True","(Kuntze) Molinari & Mayta","Plantae","Fabaceae","Biancaea godefroyana","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:60471689-2)","urn:lsid:ipni.org:names:60471689-2","Biancaea godefroyana","60471689-2","Species","Biancaea godefroyana","60471689-2"
46,47,"True","Hook. & Arn.","Plantae","Fabaceae","Brongniartia glabrata","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:482358-1)","urn:lsid:ipni.org:names:482358-1","Brongniartia glabrata","482358-1","Species","Brongniartia glabrata","482358-1"
47,48,"True","(Voigt) Grierson","Plantae","Fabaceae","Butea buteiformis","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:482550-1)","urn:lsid:ipni.org:names:482550-1","Butea buteiformis","482550-1","Species","Butea buteiformis","482550-1"
48,49,"True","Baker","Plantae","Fabaceae","Cadia pedicellata","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:482603-1)","urn:lsid:ipni.org:names:482603-1","Cadia pedicellata","482603-1","Species","Cadia pedicellata","482603-1"
49,50,"True","(Wight & Arn.) Maesen","Plantae","Fabaceae","Cajanus lineatus","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:942597-1)","urn:lsid:ipni.org:names:942597-1","Cajanus lineatus","942597-1","Species","Cajanus lineatus","942597-1"
50,51,"True","(Benth.) Maesen","Plantae","Fabaceae","Cajanus platycarpus","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:942601-1)","urn:lsid:ipni.org:names:942601-1","Cajanus platycarpus","942601-1","Species","Cajanus platycarpus","942601-1"
51,52,"True","Rose","Plantae","Fabaceae","Calliandra peninsularis","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:42254-2)","urn:lsid:ipni.org:names:42254-2","Calliandra peninsularis","42254-2","Species","Calliandra peninsularis","42254-2"
52,53,"True","(R.Br.) E.Mey.","Plantae","Fabaceae","Calpurnia intrusa","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:483466-1)","urn:lsid:ipni.org:names:483466-1","Calpurnia intrusa","483466-1","Species","Calpurnia intrusa","483466-1"
53,54,"True","(R.Parker) L.B.Chaudhary & S.K.Srivast.","Plantae","Fabaceae","Caragana aegacanthoides","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:77083821-1)","urn:lsid:ipni.org:names:77083821-1","Caragana aegacanthoides","77083821-1","Species","Caragana aegacanthoides","77083821-1"
54,55,"True","Brenan","Plantae","Fabaceae","Cassia afrofistula","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:484073-1)","urn:lsid:ipni.org:names:484073-1","Cassia afrofistula","484073-1","Species","Cassia afrofistula","484073-1"
55,56,"True","Welw. ex Hiern","Plantae","Fabaceae","Cassia angolensis","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:484098-1)","urn:lsid:ipni.org:names:484098-1","Cassia angolensis","484098-1","Species","Cassia angolensis","484098-1"
56,57,"True","(R.Vig.) Du Puy","Plantae","Fabaceae","Chamaecrista lateriticola","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:984206-1)","urn:lsid:ipni.org:names:984206-1","Chamaecrista lateriticola","984206-1","Species","Chamaecrista lateriticola","984206-1"
57,58,"True","(Vahl) Greene","Plantae","Fabaceae","Chamaecrista nigricans","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:54641-2)","urn:lsid:ipni.org:names:54641-2","Chamaecrista nigricans","54641-2","Species","Chamaecrista nigricans","54641-2"
58,59,"True","(Gagnep.) R.Clark & Mackinder","Plantae","Fabaceae","Cheniella lakhonensis","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:77165912-1)","urn:lsid:ipni.org:names:77165912-1","Cheniella lakhonensis","77165912-1","Species","Cheniella lakhonensis","77165912-1"
59,60,"True","(Schindl.) T.C.Chen","Plantae","Fabaceae","Christia constricta","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:486273-1)","urn:lsid:ipni.org:names:486273-1","Christia constricta","486273-1","Species","Christia constricta","486273-1"
60,61,"True","Hemsl.","Plantae","Fabaceae","Clitoria hanceana","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:486532-1)","urn:lsid:ipni.org:names:486532-1","Clitoria hanceana","486532-1","Species","Clitoria hanceana","486532-1"
61,62,"True","J.F.Macbr.","Plantae","Fabaceae","Clitoria pozuzoensis","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:61297-2)","urn:lsid:ipni.org:names:61297-2","Clitoria pozuzoensis","61297-2","Species","Clitoria pozuzoensis","61297-2"
62,63,"True","(Boiss.) Shap.","Plantae","Fabaceae","Colutea buhsei","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:486817-1)","urn:lsid:ipni.org:names:486817-1","Colutea buhsei","486817-1","Species","Colutea buhsei","486817-1"
63,64,"True","Harms","Plantae","Fabaceae","Copaifera baumiana","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:486969-1)","urn:lsid:ipni.org:names:486969-1","Copaifera baumiana","486969-1","Species","Copaifera baumiana","486969-1"
64,65,"True","Buch.-Ham. ex Benth.","Plantae","Fabaceae","Crotalaria acicularis","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:60457282-2)","urn:lsid:ipni.org:names:60457282-2","Crotalaria acicularis","60457282-2","Species","Crotalaria acicularis","60457282-2"
65,66,"True","Roxb. ex DC.","Plantae","Fabaceae","Crotalaria bracteata","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:487895-1)","urn:lsid:ipni.org:names:487895-1","Crotalaria schiedeana","488829-1","Species","Crotalaria schiedeana","488829-1"
66,67,"True","Rottler ex Willd.","Plantae","Fabaceae","Crotalaria prostrata","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:488700-1)","urn:lsid:ipni.org:names:488700-1","Crotalaria prostrata","488700-1","Species","Crotalaria prostrata","488700-1"
67,68,"True","Willd.","Plantae","Fabaceae","Crotalaria trifoliastrum","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:488988-1)","urn:lsid:ipni.org:names:488988-1","Crotalaria trifoliastrum","488988-1","Species","Crotalaria trifoliastrum","488988-1"
68,69,"True","Lam.","Plantae","Fabaceae","Crotalaria uncinella","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:489013-1)","urn:lsid:ipni.org:names:489013-1","Crotalaria uncinella","489013-1","Species","Crotalaria uncinella","489013-1"
69,70,"True","Oliv.","Plantae","Fabaceae","Cryptosepalum maraviense","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:489200-1)","urn:lsid:ipni.org:names:489200-1","Cryptosepalum maraviense","489200-1","Species","Cryptosepalum maraviense","489200-1"
70,71,"True","G.Don","Plantae","Fabaceae","Dalbergia rufa","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:490445-1)","urn:lsid:ipni.org:names:490445-1","Dalbergia rufa","490445-1","Species","Dalbergia rufa","490445-1"
71,72,"True","Ducke","Plantae","Fabaceae","Dalbergia subcymosa","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:75978-2)","urn:lsid:ipni.org:names:75978-2","Dalbergia subcymosa","75978-2","Species","Dalbergia subcymosa","75978-2"
72,73,"True","(Baker) De Wild.","Plantae","Fabaceae","Droogmansia pteropus","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:493485-1)","urn:lsid:ipni.org:names:493485-1","Droogmansia pteropus","493485-1","Species","Droogmansia pteropus","493485-1"
73,74,"True","(Dalzell & A.Gibson) Prain","Plantae","Fabaceae","Dunbaria glandulosa","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:493534-1)","urn:lsid:ipni.org:names:493534-1","Dunbaria glandulosa","493534-1","Species","Dunbaria glandulosa","493534-1"
74,75,"True","(Thunb.) Makino","Plantae","Fabaceae","Dunbaria villosa","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:493560-1)","urn:lsid:ipni.org:names:493560-1","Dunbaria villosa","493560-1","Species","Dunbaria villosa","493560-1"
75,76,"True","Steud. ex A.Rich.","Plantae","Fabaceae","Entada abyssinica","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:493817-1)","urn:lsid:ipni.org:names:493817-1","Entada abyssinica","493817-1","Species","Entada abyssinica","493817-1"
76,77,"True","Schinz","Plantae","Fabaceae","Entada arenaria","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:493822-1)","urn:lsid:ipni.org:names:493822-1","Entada arenaria","493822-1","Species","Entada arenaria","493822-1"
77,78,"True","Pierre ex Gagnep.","Plantae","Fabaceae","Entada glandulosa","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:493841-1)","urn:lsid:ipni.org:names:493841-1","Entada glandulosa","493841-1","Species","Entada glandulosa","493841-1"
78,79,"True","Baker","Plantae","Fabaceae","Eriosema griseum","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:494056-1)","urn:lsid:ipni.org:names:494056-1","Eriosema griseum","494056-1","Species","Eriosema griseum","494056-1"
79,80,"True","Harms","Plantae","Fabaceae","Eriosema tephrosioides","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:494187-1)","urn:lsid:ipni.org:names:494187-1","Eriosema tephrosioides","494187-1","Species","Eriosema tephrosioides","494187-1"
80,81,"True","Roxb.","Plantae","Fabaceae","Erythrina resupinata","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:494560-1)","urn:lsid:ipni.org:names:494560-1","Erythrina variegata","494614-1","Species","Erythrina variegata","494614-1"
81,82,"True","(Lesch.) Benn.","Plantae","Fabaceae","Euchresta horsfieldii","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:494673-1)","urn:lsid:ipni.org:names:494673-1","Euchresta horsfieldii","494673-1","Species","Euchresta horsfieldii","494673-1"
82,83,"True","Hook.f. ex Regel","Plantae","Fabaceae","Euchresta japonica","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:328804-2)","urn:lsid:ipni.org:names:328804-2","Euchresta japonica","328804-2","Species","Euchresta japonica","328804-2"
83,84,"True","Buch.-Ham. ex Benth.","Plantae","Fabaceae","Flemingia chappar","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:495248-1)","urn:lsid:ipni.org:names:495248-1","Flemingia chappar","495248-1","Species","Flemingia chappar","495248-1"
84,85,"True","L.","Plantae","Fabaceae","Genista germanica","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:496060-1)","urn:lsid:ipni.org:names:496060-1","Genista tournefortii subsp. tournefortii","77223868-1","Subspecies","Genista tournefortii","496411-1"
85,86,"True","(Harms) Vermoesen","Plantae","Fabaceae","Gilletiodendron mildbraedii","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:496565-1)","urn:lsid:ipni.org:names:496565-1","Gilletiodendron mildbraedii","496565-1","Species","Gilletiodendron mildbraedii","496565-1"
86,87,"True","Maxim.","Plantae","Fabaceae","Glycyrrhiza pallidiflora","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:496965-1)","urn:lsid:ipni.org:names:496965-1","Glycyrrhiza pallidiflora","496965-1","Species","Glycyrrhiza pallidiflora","496965-1"
87,88,"True","(Schindl.) H.Ohashi & K.Ohashi","Plantae","Fabaceae","Grona stolzii","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:77187439-1)","urn:lsid:ipni.org:names:77187439-1",NA,NA,NA,NA,NA
