,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,Sources
22,753632-1,Isertia haenkeana,Isertia haenkeana,753632-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:753632-1):MPNS (Isertia haenkeana)
23,767031-1,Spermacoce verticillata,Spermacoce verticillata,767031-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:767031-1):MPNS (Spermacoce verticillata)
24,77115635-1,Palicourea tomentosa,Palicourea tomentosa,77115635-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:77115635-1):MPNS (Palicourea tomentosa)
25,756228-1,Mitracarpus hirtus,Mitracarpus hirtus,756228-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:756228-1):MPNS (Mitracarpus hirtus)
26,743001-1,Alibertia edulis,Alibertia edulis,743001-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:743001-1):MPNS (Alibertia edulis)
27,30007294-2,Galium aparine,Galium aparine,30007294-2,Species, <b>Use</b>: ; it is also reputed to have a number of <em>medicinal</em> properties.,POWO pages(/taxon/urn:lsid:ipni.org:names:30007294-2):MPNS (Galium aparine)
28,746872-1,Cinchona pubescens,Cinchona pubescens,746872-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:746872-1):MPNS (Cinchona pubescens)
29,759121-1,Palicourea guianensis,Palicourea guianensis,759121-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:759121-1):
30,752194-1,Hamelia patens,Hamelia patens,752194-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:752194-1):MPNS (Hamelia patens)
31,86135-2,Duroia hirsuta,Duroia hirsuta,86135-2,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:86135-2):MPNS (Duroia hirsuta)
32,747038-1,Coffea arabica,Coffea arabica,747038-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:747038-1):MPNS (Coffea arabica)
33,757486-1,Nertera granadensis,Nertera granadensis,757486-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:757486-1):MPNS (Nertera granadensis)
34,757486-1,Nertera granadensis,Nertera granadensis,757486-1,Species, <b>Use</b>: Folk <em>medicine</em>: used to prevent cancer (Galvis &amp; Morales,POWO pages(/taxon/urn:lsid:ipni.org:names:757486-1):MPNS (Nertera granadensis)
35,95945-1,Cryptolepis obtusa,Cryptolepis obtusa,95945-1,Species, <b>Use</b>: <em>Medicinal</em> plant,POWO pages(/taxon/urn:lsid:ipni.org:names:95945-1):MPNS (Cryptolepis obtusa)
36,990656-1,Cynanchum blyttioides,Cynanchum blyttioides,990656-1,Species, <b>Use</b>: Fruits edible; fruit and latex <em>medicinal</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:990656-1):
37,98854-1,Ibatia maritima,Ibatia maritima,98854-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:98854-1):
38,97427-1,Fischeria stellata,Fischeria stellata,97427-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:97427-1):MPNS (Fischeria stellata)
39,105364-2,Forsteronia graciloides,Forsteronia graciloides,105364-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:105364-2):MPNS (Forsteronia graciloides)
40,98342-1,Hoodia gordonii,Hoodia gordonii,98342-1,Species," <b>Use</b>: , <em>medicinal</em>.",POWO pages(/taxon/urn:lsid:ipni.org:names:98342-1):MPNS (Hoodia gordonii)
41,30132318-2,Mesechites trifidus,Mesechites trifidus,30132318-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:30132318-2):MPNS (Mesechites trifidus)
42,319065-2,Allamanda cathartica,Allamanda cathartica,319065-2,Species," <b>Use</b>: Ornamental, <em>medicinal</em>.",POWO pages(/taxon/urn:lsid:ipni.org:names:319065-2):MPNS (Allamanda cathartica)
43,217918-2,Rauvolfia leptophylla,Rauvolfia leptophylla,217918-2,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:217918-2):MPNS (Rauvolfia leptophylla)
44,100911-1,Ruehssia macrophylla,Ruehssia macrophylla,100911-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:100911-1):
45,82327-1,Tabernaemontana sananho,Tabernaemontana sananho,82327-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:82327-1):MPNS (Tabernaemontana sananho)
46,97610-1,Gomphocarpus fruticosus,Gomphocarpus fruticosus,97610-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:97610-1):MPNS (Gomphocarpus fruticosus)
47,77433-1,Aspidosperma polyneuron,Aspidosperma polyneuron,77433-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:77433-1):MPNS (Aspidosperma polyneuron)
48,77880-1,Catharanthus roseus,Catharanthus roseus,77880-1,Species," <b>Use</b>: <em>Medicinal</em>, ornamental.",POWO pages(/taxon/urn:lsid:ipni.org:names:77880-1):MPNS (Catharanthus roseus)
49,1004515-2,Calotropis procera,Calotropis procera,1004515-2,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:1004515-2):MPNS (Calotropis procera)
50,94213-1,Asclepias curassavica,Asclepias curassavica,94213-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:94213-1):MPNS (Asclepias curassavica)
51,94213-1,Asclepias curassavica,Asclepias curassavica,94213-1,Species, <b>Use</b>: Flowers - Used in folk <em>medicine</em> (García Barriga 1975).,POWO pages(/taxon/urn:lsid:ipni.org:names:94213-1):MPNS (Asclepias curassavica)
52,80121-1,Mascarenhasia arborescens,Mascarenhasia arborescens,80121-1,Species," <b>Use</b>: Traditional <em>medicine</em>, ornamental, source of natural rubber.",POWO pages(/taxon/urn:lsid:ipni.org:names:80121-1):MPNS (Mascarenhasia arborescens)
53,899079-1,Acokanthera laevigata,Acokanthera laevigata,899079-1,Species,,:MPNS (Acokanthera laevigata)
54,77164695-1,Acokanthera oblongifolia,Acokanthera oblongifolia,77164695-1,Species,,:MPNS (Acokanthera oblongifolia)
55,76349-1,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,Species,,:MPNS (Acokanthera oppositifolia)
56,60447729-2,Acokanthera schimperi,Acokanthera schimperi,60447729-2,Species,,:MPNS (Acokanthera schimperi)
57,742833-1,Acranthera grandiflora,Acranthera grandiflora,742833-1,Species,,:MPNS (Acranthera grandiflora)
58,76360-1,Adenium boehmianum,Adenium boehmianum,76360-1,Species,,:MPNS (Adenium boehmianum)
59,76366-1,Adenium multiflorum,Adenium multiflorum,76366-1,Species,,:MPNS (Adenium multiflorum)
60,76369-1,Adenium obesum,Adenium obesum,76369-1,Species,,:MPNS (Adenium obesum)
61,76370-1,Adenium oleifolium,Adenium oleifolium,76370-1,Species,,:MPNS (Adenium oleifolium)
62,76374-1,Adenium swazicum,Adenium swazicum,76374-1,Species,,:MPNS (Adenium swazicum)
63,742903-1,Adina cordifolia,Adina cordifolia,742903-1,Species,,:MPNS (Adina cordifolia)
64,77142551-1,Adina eurhyncha,Adina eurhyncha,77142551-1,Species,,:MPNS (Adina eurhyncha)
65,742905-1,Adina fagifolia,Adina fagifolia,742905-1,Species,,:MPNS (Adina fagifolia)
66,742927-1,Adina pilulifera,Adina pilulifera,742927-1,Species,,:MPNS (Adina pilulifera)
67,742932-1,Adina rubella,Adina rubella,742932-1,Species,,:MPNS (Adina rubella)
68,742939-1,Adina trichotoma,Adina trichotoma,742939-1,Species,,:MPNS (Adina trichotoma)
69,77187928-1,Adolphoduckea maynensis,Adolphoduckea maynensis,77187928-1,Species,,:MPNS (Adolphoduckea maynensis)
70,77062250-1,Afrocanthium keniense,Afrocanthium keniense,77062250-1,Species,,:MPNS (Afrocanthium keniense)
71,77062252-1,Afrocanthium lactescens,Afrocanthium lactescens,77062252-1,Species,,:MPNS (Afrocanthium lactescens)
72,77062253-1,Afrocanthium mundianum,Afrocanthium mundianum,77062253-1,Species,,:MPNS (Afrocanthium mundianum)
73,77062257-1,Afrocanthium pseudorandii,Afrocanthium pseudorandii,77062257-1,Species,,:MPNS (Afrocanthium pseudorandii)
74,76388-1,Aganosma cymosa,Aganosma cymosa,76388-1,Species,,:MPNS (Aganosma cymosa)
75,77125846-1,Aganosma heynei,Aganosma heynei,77125846-1,Species,,:MPNS (Aganosma heynei)
76,76413-1,Aganosma wallichii,Aganosma wallichii,76413-1,Species,,:MPNS (Aganosma wallichii)
77,742948-1,Agathisanthemum bojeri,Agathisanthemum bojeri,742948-1,Species,,:MPNS (Agathisanthemum bojeri)
78,77167442-1,Agathisanthemum bojeri subsp. bojeri,Agathisanthemum bojeri,742948-1,Subspecies,,:MPNS (Agathisanthemum bojeri subsp. bojeri)
79,742950-1,Agathisanthemum globosum,Agathisanthemum globosum,742950-1,Species,,:MPNS (Agathisanthemum globosum)
80,742957-1,Aidia cochinchinensis,Aidia cochinchinensis,742957-1,Species,,:MPNS (Aidia cochinchinensis)
81,742958-1,Aidia densiflora,Aidia densiflora,742958-1,Species,,:MPNS (Aidia densiflora)
82,742960-1,Aidia genipiflora,Aidia genipiflora,742960-1,Species,,:MPNS (Aidia genipiflora)
83,742963-1,Aidia micrantha,Aidia micrantha,742963-1,Species,,:MPNS (Aidia micrantha)
84,911695-1,Aidia racemosa,Aidia racemosa,911695-1,Species,,:MPNS (Aidia racemosa)
85,20001139-1,Aidia vitiensis,Aidia vitiensis,20001139-1,Species,,:MPNS (Aidia vitiensis)
86,989548-1,Aidiopsis orophila,Aidiopsis orophila,989548-1,Species,,:MPNS (Aidiopsis orophila)
87,742981-1,Airosperma trichotomum,Airosperma trichotomum,742981-1,Species,,:MPNS (Airosperma trichotomum)
88,76417-1,Alafia barteri,Alafia barteri,76417-1,Species,,:MPNS (Alafia barteri)
89,76418-1,Alafia benthamii,Alafia benthamii,76418-1,Species,,:MPNS (Alafia benthamii)
90,76422-1,Alafia caudata,Alafia caudata,76422-1,Species,,:MPNS (Alafia caudata)
91,991376-1,Alafia erythrophthalma,Alafia erythrophthalma,991376-1,Species,,:MPNS (Alafia erythrophthalma)
92,76427-1,Alafia fuscata,Alafia fuscata,76427-1,Species,,:MPNS (Alafia fuscata)
93,77176689-1,Alafia landolphioides,Alafia landolphioides,77176689-1,Species,,:MPNS (Alafia landolphioides)
94,76437-1,Alafia lucida,Alafia lucida,76437-1,Species,,:MPNS (Alafia lucida)
95,76446-1,Alafia multiflora,Alafia multiflora,76446-1,Species,,:MPNS (Alafia multiflora)
96,76451-1,Alafia pauciflora,Alafia pauciflora,76451-1,Species,,:MPNS (Alafia pauciflora)
97,76452-1,Alafia perrieri,Alafia perrieri,76452-1,Species,,:MPNS (Alafia perrieri)
98,76456-1,Alafia schumannii,Alafia schumannii,76456-1,Species,,:MPNS (Alafia schumannii)
99,76459-1,Alafia thouarsii,Alafia thouarsii,76459-1,Species,,:MPNS (Alafia thouarsii)
100,742988-1,Alberta magna,Alberta magna,742988-1,Species,,:MPNS (Alberta magna)
101,8399-2,Alibertia latifolia,Alibertia latifolia,8399-2,Species,,:MPNS (Alibertia latifolia)
102,77116169-1,Alibertia patinoi,Alibertia patinoi,77116169-1,Species,,:MPNS (Alibertia patinoi)
103,76468-1,Allamanda blanchetii,Allamanda blanchetii,76468-1,Species,,:MPNS (Allamanda blanchetii)
104,76487-1,Allamanda schottii,Allamanda schottii,76487-1,Species,,:MPNS (Allamanda schottii)
105,105718-3,Alstonia angustifolia,Alstonia angustifolia,105718-3,Species,,:MPNS (Alstonia angustifolia)
106,76507-1,Alstonia angustiloba,Alstonia angustiloba,76507-1,Species,,:MPNS (Alstonia angustiloba)
107,76511-1,Alstonia boonei,Alstonia boonei,76511-1,Species,,:MPNS (Alstonia boonei)
108,76517-1,Alstonia congensis,Alstonia congensis,76517-1,Species,,:MPNS (Alstonia congensis)
109,76518-1,Alstonia constricta,Alstonia constricta,76518-1,Species,,:MPNS (Alstonia constricta)
110,76521-1,Alstonia costata,Alstonia costata,76521-1,Species,,:MPNS (Alstonia costata)
111,76543-1,Alstonia iwahigensis,Alstonia iwahigensis,76543-1,Species,,:MPNS (Alstonia iwahigensis)
112,10153-2,Alstonia longifolia,Alstonia longifolia,10153-2,Species,,:MPNS (Alstonia longifolia)
113,76556-1,Alstonia macrophylla,Alstonia macrophylla,76556-1,Species,,:MPNS (Alstonia macrophylla)
114,76557-1,Alstonia mairei,Alstonia mairei,76557-1,Species,,:MPNS (Alstonia mairei)
115,76563-1,Alstonia neriifolia,Alstonia neriifolia,76563-1,Species,,:MPNS (Alstonia neriifolia)
116,76578-1,Alstonia pneumatophora,Alstonia pneumatophora,76578-1,Species,,:MPNS (Alstonia pneumatophora)
117,76584-1,Alstonia rostrata,Alstonia rostrata,76584-1,Species,,:MPNS (Alstonia rostrata)
118,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,,:MPNS (Alstonia scholaris)
119,76595-1,Alstonia spatulata,Alstonia spatulata,76595-1,Species,,:MPNS (Alstonia spatulata)
120,76597-1,Alstonia spectabilis,Alstonia spectabilis,76597-1,Species,,:MPNS (Alstonia spectabilis)
121,76602-1,Alstonia venenata,Alstonia venenata,76602-1,Species,,:MPNS (Alstonia venenata)
122,76608-1,Alstonia yunnanensis,Alstonia yunnanensis,76608-1,Species,,:MPNS (Alstonia yunnanensis)
123,76620-1,Alyxia baillonii,Alyxia baillonii,76620-1,Species,,:MPNS (Alyxia baillonii)
124,76628-1,Alyxia buxifolia,Alyxia buxifolia,76628-1,Species,,:MPNS (Alyxia buxifolia)
125,76641-1,Alyxia concatenata,Alyxia concatenata,76641-1,Species,,:MPNS (Alyxia concatenata)
126,76680-1,Alyxia halmaheirae,Alyxia halmaheirae,76680-1,Species,,:MPNS (Alyxia halmaheirae)
127,76720-1,Alyxia markgrafii,Alyxia markgrafii,76720-1,Species,,:MPNS (Alyxia markgrafii)
128,76721-1,Alyxia menglungensis,Alyxia menglungensis,76721-1,Species,,:MPNS (Alyxia menglungensis)
129,76764-1,Alyxia pullei,Alyxia pullei,76764-1,Species,,:MPNS (Alyxia pullei)
130,76771-1,Alyxia reinwardtii,Alyxia reinwardtii,76771-1,Species,,:MPNS (Alyxia reinwardtii)
131,76779-1,Alyxia rostrata,Alyxia rostrata,76779-1,Species,,:MPNS (Alyxia rostrata)
132,76797-1,Alyxia sinensis,Alyxia sinensis,76797-1,Species,,:MPNS (Alyxia sinensis)
133,76804-1,Alyxia stellata,Alyxia stellata,76804-1,Species,,:MPNS (Alyxia stellata)
134,76814-1,Alyxia tisserantii,Alyxia tisserantii,76814-1,Species,,:MPNS (Alyxia tisserantii)
135,76826-1,Amalocalyx microlobus,Amalocalyx microlobus,76826-1,Species,,:MPNS (Amalocalyx microlobus)
136,77074602-1,Amphineurion marginatum,Amphineurion marginatum,77074602-1,Species,,:MPNS (Amphineurion marginatum)
137,76906-1,Amsonia elliptica,Amsonia elliptica,76906-1,Species,,:MPNS (Amsonia elliptica)
138,77167486-1,Amsonia tomentosa var. tomentosa,Amsonia tomentosa,76934-1,Variety,,:MPNS (Amsonia tomentosa var. tomentosa)
139,76966-1,Ancylobothrys amoena,Ancylobothrys amoena,76966-1,Species,,:MPNS (Ancylobothrys amoena)
140,76968-1,Ancylobothrys capensis,Ancylobothrys capensis,76968-1,Species,,:MPNS (Ancylobothrys capensis)
141,76971-1,Ancylobothrys petersiana,Ancylobothrys petersiana,76971-1,Species,,:MPNS (Ancylobothrys petersiana)
142,77012-1,Angadenia berteroi,Angadenia berteroi,77012-1,Species,,:MPNS (Angadenia berteroi)
143,980053-1,Anisopus efulensis,Anisopus efulensis,980053-1,Species,,:MPNS (Anisopus efulensis)
144,77061-1,Anodendron affine,Anodendron affine,77061-1,Species,,:MPNS (Anodendron affine)
145,77064-1,Anodendron candolleanum,Anodendron candolleanum,77064-1,Species,,:MPNS (Anodendron candolleanum)
146,77158412-1,Anodendron parviflorum,Anodendron parviflorum,77158412-1,Species,,:MPNS (Anodendron parviflorum)
147,743351-1,Anthospermum aethiopicum,Anthospermum aethiopicum,743351-1,Species,,:MPNS (Anthospermum aethiopicum)
148,743380-1,Anthospermum herbaceum,Anthospermum herbaceum,743380-1,Species,,:MPNS (Anthospermum herbaceum)
149,743405-1,Anthospermum rigidum,Anthospermum rigidum,743405-1,Species,,:MPNS (Anthospermum rigidum)
150,955219-1,Anthospermum rigidum subsp. pumilum,Anthospermum rigidum,743405-1,Subspecies,,:MPNS (Anthospermum rigidum subsp. pumilum)
151,743450-1,Antirhea bifurcata,Antirhea bifurcata,743450-1,Species,,:MPNS (Antirhea bifurcata)
152,743451-1,Antirhea borbonica,Antirhea borbonica,743451-1,Species,,:MPNS (Antirhea borbonica)
153,945441-1,Aoranthe cladantha,Aoranthe cladantha,945441-1,Species,,:MPNS (Aoranthe cladantha)
154,945443-1,Aoranthe penduliflora,Aoranthe penduliflora,945443-1,Species,,:MPNS (Aoranthe penduliflora)
155,16503-2,Apocynum androsaemifolium,Apocynum androsaemifolium,16503-2,Species,,:MPNS (Apocynum androsaemifolium)
156,16527-2,Apocynum cannabinum,Apocynum cannabinum,16527-2,Species,,:MPNS (Apocynum cannabinum)
157,16576-2,Apocynum × floribundum,Apocynum × floribundum,16576-2,Species,,:MPNS (Apocynum × floribundum)
158,77225-1,Apocynum pictum,Apocynum pictum,77225-1,Species,,:MPNS (Apocynum pictum)
159,77279-1,Apocynum venetum,Apocynum venetum,77279-1,Species,,:MPNS (Apocynum venetum)
160,77190050-1,Apocynum venetum subsp. lancifolium,Apocynum venetum,77279-1,Subspecies,,:MPNS (Apocynum venetum subsp. lancifolium)
161,20009957-1,Apteranthes tuberculata,Apteranthes tuberculata,20009957-1,Species,,:MPNS (Apteranthes tuberculata)
162,94045-1,Araujia angustifolia,Araujia angustifolia,94045-1,Species,,:MPNS (Araujia angustifolia)
163,77114651-1,Araujia brachystephana,Araujia brachystephana,77114651-1,Species,,:MPNS (Araujia brachystephana)
164,77114654-1,Araujia odorata,Araujia odorata,77114654-1,Species,,:MPNS (Araujia odorata)
165,30117279-2,Araujia sericifera,Araujia sericifera,30117279-2,Species,,:MPNS (Araujia sericifera)
166,77114656-1,Araujia stuckertiana,Araujia stuckertiana,77114656-1,Species,,:MPNS (Araujia stuckertiana)
167,743608-1,Arcytophyllum nitidum,Arcytophyllum nitidum,743608-1,Species,,:MPNS (Arcytophyllum nitidum)
168,908343-1,Argocoffeopsis afzelii,Argocoffeopsis afzelii,908343-1,Species,,:MPNS (Argocoffeopsis afzelii)
169,942887-1,Argocoffeopsis eketensis,Argocoffeopsis eketensis,942887-1,Species,,:MPNS (Argocoffeopsis eketensis)
170,908347-1,Argocoffeopsis rupestris,Argocoffeopsis rupestris,908347-1,Species,,:MPNS (Argocoffeopsis rupestris)
171,743694-1,Argostemma hameliifolium,Argostemma hameliifolium,743694-1,Species,,:MPNS (Argostemma hameliifolium)
172,743739-1,Argostemma montanum,Argostemma montanum,743739-1,Species,,:MPNS (Argostemma montanum)
173,743764-1,Argostemma pauciflorum,Argostemma pauciflorum,743764-1,Species,,:MPNS (Argostemma pauciflorum)
174,743799-1,Argostemma sarmentosum,Argostemma sarmentosum,743799-1,Species,,:MPNS (Argostemma sarmentosum)
175,743830-1,Argostemma uniflorum,Argostemma uniflorum,743830-1,Species,,:MPNS (Argostemma uniflorum)
176,94076-1,Asclepias albens,Asclepias albens,94076-1,Species,,:MPNS (Asclepias albens)
177,21135-2,Asclepias albicans,Asclepias albicans,21135-2,Species,,:MPNS (Asclepias albicans)
178,60445583-2,Asclepias amplexicaulis,Asclepias amplexicaulis,60445583-2,Species,,:MPNS (Asclepias amplexicaulis)
179,21143-2,Asclepias asperula,Asclepias asperula,21143-2,Species,,:MPNS (Asclepias asperula)
180,21144-2,Asclepias asperula subsp. capricornu,Asclepias asperula,21143-2,Subspecies,,:MPNS (Asclepias asperula subsp. capricornu)
181,94121-1,Asclepias aurea,Asclepias aurea,94121-1,Species,,:MPNS (Asclepias aurea)
182,21153-2,Asclepias californica,Asclepias californica,21153-2,Species,,:MPNS (Asclepias californica)
183,21169-2,Asclepias cordifolia,Asclepias cordifolia,21169-2,Species,,:MPNS (Asclepias cordifolia)
184,94202-1,Asclepias crispa,Asclepias crispa,94202-1,Species,,:MPNS (Asclepias crispa)
185,94206-1,Asclepias cryptoceras,Asclepias cryptoceras,94206-1,Species,,:MPNS (Asclepias cryptoceras)
186,94208-1,Asclepias cucullata,Asclepias cucullata,94208-1,Species,,:MPNS (Asclepias cucullata)
187,94209-1,Asclepias cultriformis,Asclepias cultriformis,94209-1,Species,,:MPNS (Asclepias cultriformis)
188,94232-1,Asclepias densiflora,Asclepias densiflora,94232-1,Species,,:MPNS (Asclepias densiflora)
189,290400-2,Asclepias engelmanniana,Asclepias engelmanniana,290400-2,Species,,:MPNS (Asclepias engelmanniana)
190,94258-1,Asclepias eriocarpa,Asclepias eriocarpa,94258-1,Species,,:MPNS (Asclepias eriocarpa)
